s	-0.5478297504897749714621032783672988221841775648966049530087088664942118899175603538714421144523929002220512974984960189963456291688951434724543232762028626	0.693421993695985889378204516956034569133229868515088967834162328456484547800054519247504263284577140108156595135267771240652321806050295394964110317288994
N	50

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.40287256646200564329684669041063558169864695155798156905513351439505686145581604524328167167197152485741543036079026481429889839871234041160993039289385	-0.553889743553858302379552455899512353151359349588627908624140574291424492815767428052520395596146716875008359335583798101535207407803675773467111982291032
1	0.415444085331923987579293990938958616885743274523460027561707087310576263127826326283523654286364086142126106451277184526940324871070839750634206182813975	0.267485199426673467903939185421555380760529997762237782501914962439356098114847947659863136003714595299014386199525051838401250544194251562603188330815385
2	0.235455619787193552537679586551102518125762923249798928626906682411415689835155777899485032307488766403326504412201546106486695868726226277443145825897922	0.076868729233496167382672544348415316959836483969762378380273893834834833950648888585514548523671442782661768814125965953669080701119844326748512909045505
3	0.103379327813573904296451427891567340689894672967444178981741615483212364095256653586506678391553792414798813503284943540586021896146930357090412719572299	-0.013010793694818433786055911356229878237602801844258933505560671492290413010724857773733822303768858950713583586006286041367790255311346998225398920208721
4	0.035232454579538990953747062592371017888683091733827830946834918038731061884236866662533435243422937194927878015825716207624831252495303045860220885115733	-0.027790461185750730612212202383718073790084731823101568839632097238558788780130893461031240936462112188175481321457091903311282509360378927973155180616974
5	0.009003153484486722136126380596180012095383208464684291180402885713215754700085486659861325395948900530158760312180247094662981329840304370689861048084452	-0.016764324703293321019933580124696198832795677481952674785413461483414699382809214604177893120043650778997282151250609575491457594234869011045668623179305
6	0.001106289326163144755983710024536433195358565358312189278468115684055206610543781735192471883191427669321814993940269383159541496418968093101123546013639	-0.006973736294650556334168683556021620102852201962003694117201445876238514972645123702241653261305069313033527307698075391548388544926256322916056304736374
7	-0.000422127842517001718272588326921353378069868598167015980832696506838866699311670532455222411609063959157536145439104399455708315476561990288730170852542	-0.002216531513411128903157222598926438042409991905942287622222322528611791821050534705729107090433561839261179791532657803161000491006339560175183984536381
8	-0.000381909615733258746583684498792998856249638833983379054273176548767522876464201497606272720654691048805374854893817031736527575471793621197815694062959	-0.000553381298585317630167034919443926111344965869009436762199671177784570277564058118584808010389950898291565648597629425546532659890754108150262484542916
9	-0.000174754935850580080418242770338667862577641005978261004943188836953498756796244966519880338541916647853456074170766327985245397796852932822207292088997	-0.000099691703627160382575499698221642025763768167649186371657460845829287748762479350069131573961653432462408335158248783604350169317834883977110444886851
10	-0.000059177573417771162956378850029801558342615388824772895394160758739026835849446706519384628433823284063491387127877078704501678377074039770973833798771	-7.088190797234418776737203834991041331875795339222756529733719661785093892621618427638875497145735054790853680782433989020355851002729753667943827347e-6
11	-0.000015718457799156386258909237936425595729542599991300531044317299544699385157014038424377212673554517750773707001555340675765332413823597315008638001889	3.707517923987134622243578623251264078718892902603056003464358033626947740556273491125167527433895955521470096526696049673510061516999541024976176769e-6
12	-3.176329276272717523372049233932709376102549374722205165289833538512094495625527257602652976924835213145267841057824488106167072579650260599280022056e-6	2.20684475918356624954391743705825605158446564760056610977129791918788767447069556839345030021835695128233828867209915274926892293415545322052751585e-6
13	-3.99893015888476582194605116940651616588796019563927922635327883265947911712213324510777576914589107217330473921791615401108341092520972755543339158e-7	7.72063656432887629297492399728169209457415769008816061289016130511909640828648385967075392417698800148322299943386024661384750232953030601279016091e-7
14	1.5200881417300044942054910909458246447874929527556643612596716748827359169054465478923843871722143987868899571130274904168470161571643516329998131e-8	2.10494830583809424171031835245741789064950363635168794073726614034623775624361829633332361718905376271081522281699284456914183573032469689244654765e-7
15	2.571124452968866216553247017358870809868501091389351814445711147705888550074625814206070928789687397352392746942230748385776702730664060366995438e-8	4.6596093319832342902246648626961068874141551672563161894251418391882244805935898155744421943013043745291930804006621829154977215189661665008971855e-8
16	8.298473700095304002864505589174975561869417485248885102547279007074137067319307318893846067882245110973804532317985728812405516532183230372698173e-9	7.836462244952578082564176683199474557941973219522368238527956177316655714257768039720700233585057010920655202595075851677310977660801355325113037e-9
17	1.653831876910422006530863348862517316594206666883660242519144560551756334540213581733124152312789135698251104657875637701420478006001383111186111e-9	6.44422244314996456273137658796094784371242377045722844522351902725377400060231653346067355890625164228249246282428410995203249484884496541195125e-10
18	2.07520184776521742718429214863227943656376154674225952677557290113304976427331309212807504757780472624917530637949370885541132130388693472441762e-10	-1.69706582052035938174504878761039555206136752819265439500397571381887495205941421766639166184050642790039252099134620964371302544064695785854411e-10
19	1.5036597918747145864154968112863865317890237286260269104038748182281499384383956729546963944014797173191053682683263746620421315270519726075683e-11	-9.8269585964778706414077062163885635012527293855227557591505142418257032521175271715012458343400835849780606537188583218328187755351488119397308e-11
20	3.656549612860188007178485669436074068389892596394630654200586378758910455020784112070620265714327301707714590257829682208422112036266518576472e-12	-2.5984097273141030307668610922753973461534881942288214580650186127503982926668282617081630080940173611836397223211804493003054480831503348674615e-11
21	2.385530941928677187581466480637479850492589502802144448040610475793107931201385092096137838904191855167163524212267598775912359899176220957582e-12	-3.381607727391429796370603722023179808006594595623648892736304832706114732186917785833446396862379864299592539681233873286676047202336535452344e-12
22	7.4748405995760304812176233196187670744598743498571854753802327373659465452563780803812521355534896534392359675764551508329028242214329208087e-13	4.35968171434816160271336753319057158382167091488521226450388766500039748653749904719511299274761074466035638106010725974043502496084917021634e-13
23	4.6101797863601936673459390802152821050009346978224955502468270227082972746149682591066738307423005698766030658300044778065042207321829257363e-14	3.66370363711932942066259062713283847424631845621109720873450230198962346265946100641945275257574946627086236930717311744191925766167647416673e-13
24	-6.1532186586404543055932211619187849603405656236155429012480226951846992350898343703814327371867321561003511006457989040669957946081699572587e-14	9.1666702057884596170823891656760270250919711187433322871531561761470108559401139121197418601791393247350679219571753019286183655656401503943e-14
25	-3.0289613778547113114784220882006852839498669116962069829551542774234107241842516129257113750220021026210173321712598927229865237503250481689e-14	2.996197596380314015303375334082800328289506977879526809063972675397273724951189854368514213625322808198165638111799706731298997787174928353e-15
26	-6.463208213780381689828392169519313554824154021925555563560543482509616862287713256288382589068166945026091492687272618058306070653780900195e-15	-6.641858238955534235367779300994461632318586218953428239095643215117907638428641555846343044662351813458855299414037443024515466259290825457e-15
27	2.04493144897642908029244432815903537144655527507700365324261563311858290608170315281024211983202462160672103986308996577329093707680605891e-16	-2.761060426985165736590354372011480760243610012248592217135961845061234124592233809911032132346849854262425105342175199997058385499718261331e-15
