s	-0.95641636092349763716455434558710937509479022455508427039171668195064597522704838544232891762513821496902124021282777956587064878218724166273354591053579992	-0.602314832992644902038449946129537236389085445939239377766728933440211302098899526303668150596631054149043810234856616433605499138407438121484829543586039649
N	25

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.13093864161710980765586894680364182882245194894536520873978611350285312581061758048486970533820863661345276482871457864373920372491988194122977254657911594	-0.84313948546580642809645076984243812573966034513825619749317575536643687402495784484866378654148472799676193360704882053237418395954536835817699889184664047
1	0.44950087491682686103380565659691085437487415715135830231755528207347814509540962585772111043627504062865343164382665871309128674027287410468565901933272193	0.32804709379263024609243279556245426044967688825959646229468804884116610941652836510508781396237260444383450650321685373270670232082820054398280773906595522
2	0.29722706583402425303512081852375082388466522107544467783884607083376889725759369734789500674850313452310482971518191998206030612965157241282803190506046852	0.09699479412413432592808831711242396923824918224335141030451746147231332946401465352040321315033430983133602231501881652939997781548093452259638495120358699
3	0.16898652362192299524554784585791646354435800745514589089013615276139606153465693294551479312249298712550106099075799284235571764545952576284933477541265102	-0.00104050783635794170171037478652746719659811566430434350822557062689123853339825987334689129385686297251930108462747565553818868874301289804873027936309657
4	0.08572113476315271997642615383832607996645732266557758664776131933364330716539947006596811040730524916399107744715760049576802570578957917163028839298918462	-0.01260914722859387507106224615279649853682059290701949309129954448232546270157454653288040694922088151833864084905590972091428986758975886459776862019624633
5	0.03955487562077779786714185848987658702349328372609247184701815251269700969443549651448737221488055192219956262415908207157220114795514019378950741890595161	-0.00140049787882786650753164007401373117614046926690101811211992953021456360644843441997620263470316412896256113651452655647677292605740228748710555602854236
6	0.01632666003797273577217101457152192008478432327331645099559461182339740596909283482399121370071334047677541504905252429925421500168374457827224539483253043	0.00402005670579524935247354367433549116428089953957895929096442868705439905187331694107877280726269166352894122082653961228703099850173575219400423521083855
7	0.00590826054046950787707903301618027988483237753723970352149505013219998599868666734064398947084215967886661100875309045093206427704899559660171029755093729	0.0038864722293842703394277220845572662353601047801233381692436710648543849931974600776648057185338376671245166632737260674044062536512651055542147158573903
