s	-1.1481381063109533149707149608194238363364858968464868584015687061176712982843290369894384329499529964861034769282966632560663123947450696201210736574885672	-2.2806491083779312247048273879332430632957009318082316413700477772752693431393010729228493074806627942112068740079112215894801193928566400890231632186444193
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.149095726800861931442270711550728523288432957832836652006193648744149415030730104467247881936381311331575716938555717679736161949403564077645638591707137	-0.08556640250112001395423666640915544861120489973296711185632862063108464074645271749987116835275102961589494268089744322292381696783964976526247692338708047
1	0.1489066399345937826170108494981263620970939620472431822886369403835286424225291781899478931114962634994722459555926959188945358096891306308271879250477305	-0.0817232472089029390762328751767677659293434640865143018088194965725142641923740631430053621201539907315820511589091419504251780260320081289904608511887256
2	0.14810728219333924685914799620695174973142704850748523758356806557031293649651846327703813395788093482855174293081580260985673827423023818352521798356529887	-0.07026673905475102795924547588055393165815676654025018924865457157824939115875528929312466689617763489022947710247650230988266353179982671987043270476360997
3	0.14546542239904363258625152391844650128656909503565705131458460677059948907290878703115374497699579440253788910905407678695298596043871231605134095834547112	-0.0522507113199793044449300795697988485949364833343912317838989137553664984377512322781001134564235565634620735427765333450473072772379824063640057535041327
4	0.13937165067598402727844822709522491584548241653715696707500765468361908272469624679998838333498107495956775990551329215576150139346524531343885829637561098	-0.02932558169325565510862378548529639794897807068005876164466656565625954065862339772633912067642290949502155382991735893769743955810450430898910404527206689
5	0.1282601751277166131792930064799986096509833519259106049083755940186585555971256136990896883286703825991848994603494124793450110400464591966057647949791664	-0.00390196209913072104178271366024709814717945521541712694420373879332639549586504258929722704572587200720983846898163702556825477922159147732337964962685116
6	0.11116692369217714919064761145931276044111803991518575550491659545360305287862877826001021125063544811574884156769149332550368989149521108079945590033144823	0.02094912803738346448075981509733398394052615233705839944591652705017288898906873883135550115191239272293730416998713876083699431817341273265144199733313685
