s	-0.47807819106873028670693660082601385220739564621721081877904494224078607298610106811449554339353564696076654479686182088631196666744367171467191202343276697	-1.0528372292049817391448572950597828239973377053539147948612594435941898165306848931499227601603268631625890209378748667651907288608089743895576720670859092
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.1212468707779824134941082460178231467930190253653924611981235267234794040364662174716445911017244664352276006619059325565919534409775778786328085491233391	0.2868608872406420591417122959317220009214004992120596204507065941456731293389418899206739467635073378369513380207933412851216787873518335254025329307503156
1	-0.0083447675600252279496222534343154917910995788863736876639010835025172772952078227947195581418258927800576652910331321587506546799820494737155429454029449	-0.0166562292139111416803532746515517729584399912507310810259982771943236289864140045347615600841767377832142466558196555177250520542591840988402896483684882
2	0.00213977578507977166945567761672468225774044656299752994168294369207581631983856901459208514712801936891159247482817376383012476171247078376015535709727027	0.0036015887770909509108274308346398472720979666932757096817023089774691495912599833858685908761001932087583646609185758004505921333066729437145439052256817
3	-0.00059919609580449013550263794581787391135006210948178411173694674041042388195049558655837276755834084772422181628489851915638078440608107086901101273166226	-0.0008460722883897906803932874122673567148644173404175007709481721064952030016292286570871818239235095858267684318694362825758627923563888546751712293483158
4	0.00010443137898598770873376574106157352516067495765964540814506918401158259562164390531420111674987589235536376972506926737838906542466577456941190548806543	0.000131623678099464863583742624474027702569305415418856320613321968193237739486254438877746878438313974622002323668404232882023774897873209930092399926738
5	-0.00002485223100496644308189887718227629923384720335624780857350024405818054124484010620776144557580135435829621148698465509689690861488017446446413739828672	-0.0000246234907007373370907886943874574610477070842579750579128388303419556145011735136429642828156202163121761993472817174996829177340594427328272187956136
6	3.80823278297674921700469598258235910711085090304343112661329675499658334818405231408871544184887612067094232301429041063145182765818804923008689551987e-6	2.6425282262876639788980825438147110742422949896823350733436593261824698753118536518116453485525800739424566862124862652617196948865375667086101194828e-6
