s	-0.28874998345722303459834291454495068849052358363134198047185354245444250565413936176871792905345736378421244685985678765167401633919533088320619495851462583	-0.49668763299651989181589923849748307960809317587133325698798184775710860160825844018606562031751894413909041387491514995835779267523665284595507796028938179
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	19.85261058484601186614572932514292752937672983927084333968668347410760943281521335649487108102160736386392949301295064638533629699391191859309548658769514	-16.175041735612800150110760475889449496059853163152806973419479803011349098267595833932654412709428819419627499904800160489421793407946179743350628487398548
1	0.131874774374364452127971679764598840470634013261741338566312841423851489646260691015409622446062817981087573476206225505240168470098107175981606172164141	3.733476932951903774812660391663495012494387145711980377733361687893200593826918259494707947936561935718524166695444810162612736178081665999700763548850115
2	-0.183053315331138106593869932957506426487147967056307769710254229453914600718898513741894612479373119078721289105734579447154763249195988745747871478475291	-0.855996765466865742501946131136222298338177990102762351740482356706317985608470716119788014393002327980104658259176942260962989821905534515999422498220321
3	0.071409427522952984754017121253725173202367807951211699310327715983836616018975143464778536072999680738724075995198265932444867592490169305799382796247674	0.213592701198225203561906550625785952345266649821629439966655098045250747465565873941601059793596195887354382182853708410114881666129262242930840210619772
4	-0.02014582414593570614804619258195498825612166724059678998279787567848885483712531718381143323935580184388839051999861903224184601572232142872719396463784	-0.034853070505788172643860541454822482634530380878632554654355305147405615067592394004784465294978178172379189520560434238925153705073840937274233168974531
5	0.004739519050558623092586376086935676386649391149267092521136880749621102103039461891669238386184526136715784149911336309374679084824895148158256095464537	0.006910009606586435824425750291307926620342257224737631333539390094453940460798670055813849495755425315153343999273594213768086799274794202852943904343072
6	-0.000902606164652845982925813390484956661673043455757905501002655387522373565795183813061136449063303417932519101682557284966721564433451542402906657713741	-0.001097377579659617215303316769066549587399646213847390280626412583535955847823845270875270645569668906223980027515064516315737492993046195327894467896761
