s	-0.33698724679756641598782900822950097167625881023656453882587797459690471693875779863237267463257372057034019987821159543205679457839345027864526269177997625	-0.8222125082124025263236332099188547359768893975201992386153890783167679403609869833434363496556752649989928989063270507220536388422672371183432746660572731
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.653148791683010317921061883938763428939108692606404644466316692469785695683359902153733810832002398539616993200899112121086615804163227982860441674176851	-0.2481598498100546422004722628194798849392910530571487746631701892958207645219519584233033243464641012150624954682218347588397143560013716029368687993718966
1	-0.0790662496302963670689589041909909664630101249630422695396226686135728330942818235627591751469442994202799096136012601949704538814109236133076113323781288	0.08469698385541517763947106980144232595871529991938508117425336734264630749731173443956005652092508852902347887933630841075123813332249062768599524429541
2	0.0166743550251865706321290377473575948369842952669351960825399865389037795384595465168497107887217885808635564971538982164029237830141421268453379910588793	-0.020932387791684965877229594219724478480886779726855370881584729447502433403454578319099228051865499674508484622291786421365136487633456680900346884548842
3	-0.0038107779483302004523187853214493422124741298994152831580626190166755219043791816855876336531964971244106854975106611934034228455783481511148097973582207	0.0056312111088106292599874751728885181551538049720229189717597814637703946155608048325921975867008563559138514069736335045217956641317235192333807349842591
4	0.0005688329751658400189202755957616165535787768180246654343839944905705155356489497065376936104943234428524876511367472453158537211854575625062645180501378	-0.0009649174953851540303908549878453219794791370689674175250860371205266808603476756681865414571134722392357917775414317428918354997604766744385871982008536
5	-0.0001014491804056387090624705272038267705259106280928066833522386702717087534439924725729007479099170871952824352257456772894861071223309868064021796028669	0.000214086835762477654407110464590524445665800225817920668571663765409924923729985330084397308622389581330532391243652323933573418436652038357354850108368
6	9.9522766002384589734423809853096212108167093946771579166342697693609499424687417715102092086663852306068375050746206867870081395269039575792457689042e-6	-0.0000340383398857910698541689897177030617928017197240744965166332245584264087995859629683750157085130462411836854236431982976831744207256575379352874739762
