s	-1.0180766621294096768008550075344112746949753614367742524165502833490229155724662807050398707727444117142914540992566047331143240037652645154188654860898264	2.0286962176624148115598521838508655025648729236893852991961601933009224211585455677853094453273682149956710053845185558720458654659708692988707501704071165
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.1599027972469328346169083262245692520731314680357377735431193414368514293076202162513957230599211759472095442208762430729946111527859599506060545550621662	0.0902868286369331476834816217684476392828009354376324020182933756835469311118743890796948864056320102780391779763335564199101192914047537561098450173971036
1	0.1592260891677281330516477018402143344241746522391616640218940287853196913220290352292571238389703497460241895951274837107593494461027732289445878540910003	0.08542657561193281986141256859602923831885367269640856434451293222029884550150614111332475778769865742606668092922578222763074150870587099897027241686698377
2	0.1579639270500781653296273414939055762105016020470627959918802395694965293622071703391959030757565143225843271322778610239611785047468362027724861919028314	0.07170306561341056176802765426167702733985638229018781539811442558627268413629295039803289049762049886029925916472499512969146543923721707406275309634208697
3	0.15402034489747241761733480826218341830627108940858415197473149150320327359281954298921354121982458475997743622145247405279651414853809446345008182644999138	0.05037464141504835508247227903643807384560874332442572488526361461736804197499606397610176501265895680839242595047063824968648641053830990191381299728707575
4	0.14543756994322324877966400398043219837562702846308103752706764361897218608680986021737790145779485481053864816554563849402813518322347851925247754935001039	0.02375174582064438673864153967131043933234121905051102792433117882599389750201532431451929187820207695295448247757967932900360222134544057444424220653932209
5	0.13049815526918695703238311551710605992106265386932105993426715949791874168286043088669195918130230485457002307756808839719166358847620819319864943574182114	-0.00484154010437658242383423497751674022741789176346574363732581068707067553482585951508567982975140799868468524590474811737941662997623810588599944276547703
6	0.10847726828533260578046601947640074700693203366705670877798339342892220806623960481537362520936617496204345642726070132377148321792862269166256664700151519	-0.0313264867866846604307166386846968632809102408156611974975308665066039904983312654383799132295246011357826088918074821777978173895340428295874570083436177
