s	-0.28874998345722303459834291454495068849052358363134198047185354245444250565413936176871792905345736378421244685985678765167401633919533088320619495851462583	-0.49668763299651989181589923849748307960809317587133325698798184775710860160825844018606562031751894413909041387491514995835779267523665284595507796028938179
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	12.861375694944359162109992314170272397191473896763774465702287807387692155294369104511761803113298046077896249030360054289516821565914294444146246451181291	-3.610592976284245567608542588016969405569184335743188078578635494609724890680998890540629171284099038300585779546494673603275765370531439035392423817799006
1	-5.065706587713161225157345573553722122206996691547045095745226239356228012948645405673925074067646851578249450219086001156721537922822340999260368694278378	3.200439040807743165097973630321700787448604063498997849506181989570133784149876873195045356242299624349547441445423820364972121152063542940439998688306405
2	-1.487721214670594193844774954720808160575131178081871042768394512191247233198858253622586792592175090172779782566503929529241716861914590931524091656565404	-0.76618664706932186473588063041688939607584843404555953242508139268053124377778812805440958911308649280025440715815831752421768918440891245627600683391823
3	0.568795765063910241655614319587756844638863322804988636672472740041917242470261423124196902802449047927931362524694258892262855245591964298714593985201988	-0.960687736885178581214935403562330900516786138215307376182834806903325657585597648673358107508710650194710521930773062018028215062208011041726943462052939
4	0.663275974400687456845393635275038372091241024220582559533114872694881861543311779568882754718316065802921235849691189712263404221085309145699175438018867	-0.014120233237063522295264108973796553836483707844544127236041257392062294907088594844252391534540435563207709728291963802328946689985504367852944734485627
5	0.091089983322462405558474709159287569273145218585433731318845989313608653937588911556204499091503008578844198669719408269952969847427561888942026056291364	0.329781058601943162967513063386746153347109478760150997351256467543886735566740424373045730828141746283320728732699178710848652438386153098844620893379983
6	-0.161765059835557445783399475927480850075303671802321493160979330088055962712319965673004252813201449356021625784107914038419552428087635708218530469981954	0.112925819810020052886467198295806493515448208971149761845318285218527677055339094925025379816715957597308311563585971824361824390807640482277364732968225
