s	-1.2769573758593051907707589934391802071763339327223682080500079984357946667570220154159210144672071763750033500870050918355424136494885303133753328073293600	2.5339749226613369192890697264688940251644138065150005655213389697283010130171126766696068128046722846884906258679961811598456740885277886155270355178438683
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.1403999366376298452326964195640895644162008925893254789353821207515655423059709485346215908748476105614720789695201327275505443426668422848085817295073318	0.0816260904537631724863181429568198534940097031926575198812854710336919375432101327718890171346407932959743051104267639276839549246940817296353602486427237
1	0.1403637646962326197780759851006373332938979541143582825909983901469551951270984623975110956457842914683365396270057488245142520610667268140351093880136507	0.0783325178058209190389026526624385497237204705961268104155290629220042273667111736207537252683369107387632037830677879168383613409950514799293467163044512
2	0.1398944346745657159488616464446468180801792927142729832811270830912213919038171313210638472804955646644995540535676512035473576921846922201439431497418882	0.0686115615714984112211679180042534385839403910062483831477815179555409838987971731462099265964549356694007006986083218687558170273997415932620993411155247
3	0.13808809211966473094717495785444946147829041742018885041233983253502448591608748903420262943141821714357270465990789003203788912043287762652973031775133546	0.05316834659884271309932206549034352428126955840990475290016167580568822977382425919126754402619255189059424394950863448767696954570110993728477155500864217
4	0.13363732969245060999661544961950366230117516082700939321076299376823429405792884029939779796396387087513886857332580232448010886354203709295486868347797097	0.03321971831156402351886681567246089489735251536536566999773082691251630410498963210275124805206358358106609999502691724625751999638699249512856464529145221
5	0.12518177767743378500976532980823296682428193327252620970862740757899815973958577706386976422214568947436727921379850559727082322599704637230856478160187393	0.01056912489413497863095152425932652837110402991420424187395024655642204144438880384470006765961011563607310421004926355979570334405753796269419922994424253
6	0.11171643859770612767706525513083297289171406244450188089015183541305321966536133072755464891040063976820674288253586757411484674245998170683865540397819555	-0.01242661727631622109896672088615340054549068968792226110573649911159481450778436846736590916249111892198706318611636610170272406187489146637197290853027276
