s	-0.7530437245120287258737364752326816104368323172639547127609780032048009910270835298232239588812782155139361377281287992468680462987346133109015945140110228	-1.5314623269789212468983621672218612763567933264964822027077558100048919717749435313928632886754401820390924916167009273819159447090935364623888159342723944
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.1846781292182827580320632756857672749136951386409974560860186910480278722838336152634651703384019538495397574374787137079417030094417059137926629379828119	-0.10361543562064440119481447981842381143957309567948382939996487368794573020224205084851532620291422664985276157783794867795897501591966742035657570057407818
1	0.1926256967957821647404776516825009763715493351816434984594220772397720179541226002492762845008631930608150712222968444516170361609247351468352625070677834	-0.09207149141806624233381588725597451593034522682729176041492873336898117732133277522598687992143780960301476646589928584707990851401019506005222868747834043
2	0.1866411185090884377961185137380160968381653649655382247422019807850052211691876720434616794254291988296714875109246706520039115505837114050919016630389347	-0.07255492780101283288731334766513276822393488137243868125647974989752887502693623068488830085624785703893408004092417275082002612055289948009665315426374508
3	0.1753378915966862919878293999549411513842576338202564432554702892928982099852940492531117003574365120518636424033714353264463548345977341839425527023125918	-0.04129053326395663485868645606948084732953311750244796276270889124920675477561922243605133726388515439672212386636455661606847194917055259895502182785779876
4	0.15597352900392448388326686761111317976905292315173227970403059633431207556899715928172479608628968790880235476400334327529001206851078287493862804920418213	-0.00414275566071014241961004538737189908734784905292399687875431423343914481642619279733969856360212516227867102368700418435650434639303274470870429834411989
5	0.12687657164625785708867343431121132299567247117376811214006467666617186332844725165818099194646397898267969345410100994535547429451860033414540737372154205	0.03132013012814648147212901946385796074257272174854063347750991545709089604456025420551520755474486150386079325674325861169313008993465041207788418566268003
6	0.08923625723590565140862493747699846724984349274865453496885530672407960409381182564120119219292695267506169602996224321281240460445799502923063859261245216	0.05755019525283131600099546807242015116692886833295339621791053915501886083032091116788713902774220129559113717371343824371750741717829234351938800834530733
