s	-0.55171593467203284441077760846842231633510797575541379917744863811592085748519446442111128193623942078321985531211155664267548142567893028364874628710347015	1.37035955831948729641749124925056041784865624294423155054136495765463065077169238727298274727930658937572181785785706454879622880803076049938459419195586910
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.016204578866015143830922668826644204268604294989041821616835435884505111887758138098104212656958539622364615940865732196301003131840979253343751557634388538	-0.028128756195547214489902082491797908965255433030617194580223231679202371545436514499106978726247255903184173292457617954572316537529193829977309214924517205
1	0.001449612328139490756919077650936400101714529941358049781206402278581819302725336624287430314299477293256219133721551264741628065353964544523351119499256197	0.000874758972765133441287479752479690669214713546435091244342592428169456447056916690003146549758946706721012279469972490593756102388181720799090640363985989
2	-0.000307565032763739796311753291603059016043548178973110535972998591037497794336305798227510811671502131387989085151696298613112480279727063200380196770195286	-0.000188570004190232419395594399207526940829811525354882178444698168374463780778552271146462181435746893069441682000986664742438641372549232720204029535699162
3	0.000068420128558747581341048545008007302667562745907519944977683870918232607770113335421834930275394853519447083276235791076008151081728388990774704695242495	0.000046471855538938805902750824150817446801939064022695715097073765610721180061080035653154098580732550512869868836825863696326376398072750632983742220226409
4	-9.668709591022466545845042524683506039311608220385692229892873545553692343704793084037529692546813478774580824925471298937476623448820658517966549850413e-6	-6.137724608596417084242773727534861547944161072245673261327419351424811258085576713677345146779403677470098646630558870566034795980208592814223314299099e-6
5	1.363123197156763899038525493427184042966309716364220385760120890398088823519794624115441318283679469233660171452774263063921297207744359324145298044597e-6	1.477773863896534922815611913973307256870387411573021295718981202449296919104168585427391444892686545153040001133758639132670774173496159879665544470273e-6
6	-1.1105085704252696174082201480207173468458451534943687548160749550302900525913259896476178336770558089537268685533262479485952128568696168008857888041e-7	-1.00845996178272623568802965320625222904951416252440977967617490815965473899973687704561855934159092688333483240443222528257134406068377832181935278751e-7
