s	-0.22076436817440075931842093577979092215753184729837956317623718121848507411426290324706487119797897629936706219003672581691804484945260264595419267126679156	-0.68750569419076716235251028108197969718899563600303304669496265982884503187500368803388308660843707713219173425408206993355187189984634640936019072249021160
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.4887347817343675406025425200363125537322139820178758541944448873783413502844086941300712892670252332901036101029942047072377949643214540864611548791373774	-4.5774264988099631156493832214104332451265878879676164333835126682528042851700660017797602695657560653264377434476050481975335475563259677769770934155296411
1	0.2379721391255010316194512025795614593027007008610164372374214913432372125788231437379333526133764099596455364790241929082313260143093035012162670951851054	0.2576953001678783224871538334891484411994023258212942755219702058436763027935998594207956204787719637533661296049376458737311124795874451303809312364166906
2	-0.0578649930255803931789858302501519905804379861165560319627820736557142299671044632772061790957345414328977292509704673405722075931049159378051689570290684	-0.0540811143838423016350123765328758547554985878354062895335468397598739420595870072761142238601700857593283914537696676935468612738842431366918351299914886
3	0.0155238860854113783441115319652702585319539470493626013578771976062950812976261986701165993238054524131801641779617526465960018145182589805088408757255215	0.0122800199129950157260312633747595519277558462198161573437184139011253693406031855244815138477275124215403009453194791114319558257536540214818781500483929
4	-0.0024487522338186254665242266462032796720410939942293150537265793985377310100109069934980185792722809260262431021462696394270140970602975217993339420214537	-0.0016293828290648035405885811362056869558543329386118360634729141878943976836113366692889123846919371731770894189170815671569907239922622612046236626638544
5	0.00058172969825261043997424275098434056003604095678437497865012538973458087530956431689975814068781180084576885089271069892166918652364649056893204806081	0.0002719836496907172775267690988731814232638236886984477743831840681247542128826991056667385105813004632283268696866845325056334803658211267042519420419682
6	-0.0000788638730812314797320121732604299978720584638810977790163460392235572986091705994980504318634448568605140340726564277059263593577618153191899418135005	-0.0000239768362774497111360370418516743030197490505060862089361240677201601677793482578096263110902277910608585221586178072899638757853185818300475380977051
