s	-0.191561451694181001999344837980783478238316555853202067997613248550464508091833686330083332496638652157755749736069556944526656580929668846508769358639720803	0.76298697221593070885789903094850032331310278912426349865203170649031990552223022019640630734077550099706874238541053684156670533456730869022183333353238409
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.3242659312764289492760828994543667826854722567373228846816883615318132107535882733369824051529156782761718233274669040621522228798086004631800789697585443	2.4162268240092251346776846301792802476908035511619457578247679117569323041475270741569875897495997726125513524345567370599166315205416210012520322803977932
1	0.1167979703763312742788183252074563234333165568257973283919223428456143046854853268723164935873092414493764778110410724756552672609566982451844790413196652	-0.0808398370682092124268433367951606659635625592916237559152121848469019743452877266469718710059078014530738138274934783495294593867731024758042604800750412
2	-0.027238563012189864228827959337729371199864171381719383014130276254536349032910968691769968925749808455183530660184447546367101121933757366573051734628904	0.0169377469099525245457130561590805243309078130273373245953596857020390519784382718868402527230546004157030541904196604026107656583895390256852529925461764
3	0.0071127254736847240797441036154643331995012478368783423427515924338122632042741310408788756686298209756117692358128157022809970749935315898933382452236823	-0.0037399501420840702662544726920769849863319430856230912797728067400357573357763590813462322649113972313723981091839458048500057779384033705247653459413753
4	-0.0010492529759939733443080571964767089714986201464564510849712131794034323594958811951930586683658412133746595354879961865773459368542725294111760506284522	0.0005127708483988520862536388910060182052096477029109040471209732903882136209457290619976222697514767833562444805761631807667931030710148055013685637994964
5	0.0002473006374130298082152274636919537977098094790958319616160479594933885355265669522337882690697102060887651723989840282339023178987398263104408171808052	-0.0000762211397235198975399663606395100570209103836864982822738165595493448191945918467984729260409600725391657643113721475134141906581069378573104775067971
6	-0.0000312687950618194536953756880130574678578398532250194866930523618911430686779553858292462348229823134503627075752413146473151074890300116605828856368075	4.2171360970241595340520994815383804184922668085610238678035815182444119415826197110254655608120857363708484898009128090428080855700101665265457152875e-6
