s	-0.84610706930751223770657615068412149448191241410164753090853056114906360154019991955367852609766202327912269536179194428165713486976024300172891295813114336	2.02838315127476047655882213263720063441512166214702141721215110124921327764561836153719116410206298628228558055226062934967264234115033647199890058005060346
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.15368475484252411266348530391381780790260157981376431234774241379593763391018940276783316772285643444491883819514483646984601423623764550119240344537919601	0.09433933273282947221929257478279219706300922624278819618064565522692302630651413302323089715954990168208806472772469779214603790439272152039909358486590481
1	0.1538123141375323732592009149688929547908241145041439982474037785345234271559121366548770252709703950124738614551357860449053980912839421915445616070321483	0.08948961030370928801615635866731876004067976657969226009766241674790341561896283562137327452984751390137679602205291395253773157219820915741439835778040607
2	0.15383914925213973271261954153295816919319544703888720909504985443797042297091165502226432614704328680855668325621117855502888168161960455366526983182299677	0.07644212784558929539138171441216780578700523380294152352599889163727970821632225206565271824807197243029675252579260975529344079617549564347873735895629526
3	0.15205092335440261449410240910459709739160295812664180571552665241010144758228871487991239404500492595848137804122142836246045707179948807859921639231447049	0.05573908039975842037719272389008150938511595014530802903896455368143535381189359603159047608892498862058726977826130548845843759250648862593121393142443799
4	0.14632237897583360909824479932961393018297143513267649906147894297189083911707822001702145480039409323945570148657340867416626395866269828785552325772281825	0.0292482503893192853400651242984612382232523166088220711343742895307436372502668041898513400160586644075458601714058872659692235020677544153393492896909462
5	0.13454831807578094899687533813799723168790018275285379184976243619020200708341027082197135352057255454739689924445392040179767223294648467895488676394407485	-0.00016079903103143271890443366148610032959630559280306524111116859603297180985887212258345478429315350371510843259075420882348588940427270819271973814158487
6	0.11537549440492901055796149444387649449017302176484068558006007839502698567669844777147368461666957959825394582593277203033560529258696031203203265759850306	-0.0287191421565255745339875834622399344017681052879104390868296180669063640631160435705357655109518204560176438281889967321775625485859818936232915139976897
