s	-0.94184955213331584924271479911016852329502660480032377435566774796038245966556729890644197244344157799587322460688133171116577415436108109267762935202644139	2.2511182280519574305233526639481300430034119768329423570436116259875400655412952910457938949832513264289859611960073111763110395369125447744429582603419863
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.14437483316228345927833235242682592867471020824225778555809244953206891160276891055093338260147780030151082294655687661352836509875471367598426767741282202	0.08964863446171651747138482349034619255021694192653972897237721947057269552387435710428121670819486944992537424659261236580057957877812605896715478186233429
1	0.14453454803069134385808511549899173321942340103213287908714788814648090136505281688257877156569749595725139495927637227934619498331431763262998880158872749	0.0858352978070001364934781941632349621833056903345310115285733720943464228210510537487384458112066278031998893396326990237772981266508691990207527930747362
2	0.14484568076992178907733291810525766884786544399738721880639427202259937990464613382114225023617801231219409911432442631400844736714244866335993122347324036	0.07474695332425324629177593639020112662592077938434443259153949750872687427393071337652015846997244819238445892257075910740122052642131826859607355244720841
3	0.14396301350272842204194960986013169756760003093142688963101153922215360097440253603252164444188982115853394288027144934672665886241731107057711722602355425	0.05706091746048399100916356393127696467608324354104325477671178379232127935128183614040920209709811772507097319223795701330008411149656858341020190439118637
4	0.14014303315943565597158992355871663190946356384588713003582502733641100728592485192352133327309501459715570770833675146561506633542236080253118919747370716	0.03410396826070679518001726750868092047684909009402672637480507739442876715123728468108985888740044045613756778708744314954390345197866890472138398242820389
5	0.13154669456891267582498803675261584716096939121129703367695803674976898834918852088654016063468102782095905114662815114878949894413565020085402810427857259	0.00795364205372701920973527738740025291137300977484272460653922457658987709365723264172537940083134584511573159779852831437998852841515141355220183488222232
6	0.11677142529481004223792268779201426236127695024761327055561206544810817804096016970169834942714531947980264321868696663080309331496093244036181439139136012	-0.0185525414799924740407294665497978849934287530234537483573616042952738167993195405877226814732927098974988817462114720828368683102513964201416734403867895
