s	-0.74933652292453372118823881347547043661611808352599301185589384039451347975921897203246039399919030183742528440716123144003476363980395565546695569499735698	1.80693851777911423386861758225856027348492697902523149989548533436146174627152463396483236747011725607320589673210375657568022558655011297458531875795325227
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.0010951400389647424998790017574600298259954413123560118471406114711144628981233067374030458501541363384698910704616472542499947799713845160362613068566220323	0.0015205570901348537838898884010749353072398388387290314004768402957484417903834652232190432437438289339628934707429257201052293690275184188439106402832129335
1	-0.000034286049254943223631574141175893759395471450324215087533414169863475160984536560648132024765709437043127971640416923232606961244351998729657339123190216	-0.000145032075676123990319549826421604826828555941297660067066322628809494573406433655402442807929373937726305758454508919286885771271519562054853419834047753
2	0.000010485940452514280958226451731195934753245966423930512038157266269289234192773949181690107384622492085959133793890250143348751845108759967729160967103468	0.0000297983541762108548679733882105500634453734511042265920489292984317631798035705948356612435362946517345497161037204945938053258054225632905022456289165213
3	-2.7663179057382086772650463247510276380587853715419685716053681408016850135316285144217009950325918822849945520940736510026424184774087017010102124835744e-6	-6.6310146480288816123406919976716658701924654467982463289717352347403274372463041992935257527677635693288626924917521698688396537655465767583828711967263e-6
4	6.116450382524934193408299783329960953049533565497368441585998999889477318796815783652736659716480718575158567805808674054814722374314745148873169753343e-7	7.761100778243384785729056738318193775691236814564705824368597218984430236647699557249379067907239031463722442921912341789819012120528334982096421395575e-7
5	-9.71282137645177621399574351487741755553120176653693710499507173454441893884115746036203250895049325929676454971794121846460276839250209902832281675692e-8	-1.148316442583749938234804314738277204414817369485854146193686545128908606333342397621128530862857946022893457767462408452026676358595250250486954118508e-7
6	1.66251933409582025716544579444899304219991637427113719902053773385915867689679687817795100544645278764757837465381299580144150343429905736505339358604e-8	4.7196781498109993358799980739952294457178934428518483819681046091379377546644966872348651016166326244816399107076480436098985104415706461012217956711e-9
