s	-1.410294999558070349236436426092990821297295220955726936171977355252073256113452019039225413771362459900673752850048134625355122401693420005721488772782978	0.503009659830308451787186047083166050675830618560773076126167400858777711732499202011580144793403171996277575647837696276047589661058898202145554044041505
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.20625247890819103763854814081259283388784709019743258011623539334108640118148303179553144241406242703609668322716452869203584216276463605073077502435383	-0.85903859702765013323547090424938908944438445540470141518362460749113490365327255623345394675018026489025074129487677207750766777492052329033921839177095
1	-0.13672240555478555632436224688476436487206723709414654967825369599303143295483143445544565437861409677429981248038012723258821943253233050437716323368265	0.49101428697558078883465169221307886950267168322934140812940615622111990861349515880788433859755692834934447071073788580944713793659641565152465590086113
2	0.09957565164748632422905003542819430387203347699746913231897741479198402647996849509715857578294313721891600262181968293989535402775840483803436736835539	0.08268352553325623255023136368088987379091237576887022612802776002872619823391966138033424305513953186155546103979754309676355847150992070320424188378151
3	0.1653911927417575815107705670962725056961398579752968203989694008826395609755388397368561694010079908275837097154568538163328826440833556830692060484872	-0.05867735408185867880942319678274844640262847010300357061416726712761247665539315113908408731307086319645309842572564789345625117681004463384092777971359
4	0.13012085538483733212981741064454802539777903682942124702268433035662447521850330196211330132446776362498633064591727045886633085527245409800822230048003	-0.05399347055650552279988228911982463535642845364452385215604913840098615683061353791688100629350817759726995211346322438343559859936310790277384842104241
5	0.07481387195377996752950094788638858095364025696949252195694333337184903369477290059243121674714311069035529794724591466496372845312429867449188946678745	-0.02136069612849504143867422433934551904225443872431119981156452783334455939537638421590748631498096655967280724748623887286762890490667951704423329992786
6	0.0367258388737418152090878272497225659608991527245183343151230036263151009128416817621475616957830058340080589599888536771558659398054764588278974311821	-0.00565154091312074572654814577615136243709801964475025382741788222093972346978626520784104361166205683857111721057695755028868257102253530566433449711598
