s	-0.956553967702702494800809871854033775090423212272248730206079383873755574291150914565428045366853785197509409255124779563482318108951332962258916550447323	-0.602106909606690245693975756417787531643523120570334638034134566019437642989168033354413314524352336350201613944496355073935493733257234218939719221101898
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-1.62503892819986670686559033286626582991453945128939417778839329893848355316208425136415424716907139129454359683428226997511612894276021291871577979231946	-5.3063115365019703525736520060707920698574641529415043608637887797059664880868107329782894165142602734897558436305066290375517207524129175710254910554011
1	0.73305597197516978548185870991244691390449415429194016404581317163475832738430715446047298532184562492220222967331401132760444179232853857821129269362699	2.8620591086252012928890752262082854859784060851323908566749158917812101965584212123031497455927143195791143338706921808863941902591816765782955615763104
2	-0.37471067784605166025976222274663174770751273827794687267847101607307749318552810638402358723733570247028367813600338968487909653728560316342756468209682	-1.21141498837236122484497981900969545468808152069541913035987827944427821247900519865415648911386933028941687842355051902584327058178415643875150236167802
3	0.17514364947471953883856286554704950527519219804963585546046362223150193261993739120160890435027772399002331753050075914848501980037301397230985299626234	0.4539571630578994478986463317727416868176692947591605382878109557232050043290676702160952257445748103269964556638379768701924889792445167498456856319879
4	-0.0661010938553365909166132310698953517282790761914924439616935131831575149728943189963948624874407199458558169538852065099192781068361919976601850866577	-0.14884727840341165469815691409867617478620440120384485938629421470164513458122932201298649648301171250533556786948828992801945547669525336331426004236749
5	0.0211846469462383216716063148537301402411255232771814518015811048928176338457138318593820697860679372481695053051551974958808748442825980719620359162383	0.04549709931978766404443478961562640937975775832731159212156611661444823877714475001285953362870671760661142970565236246557706538066499733114614270915333
6	-0.005513115386178908025905288056453041316522075956459849628519763254195300147476682302252906238585345784815032948788441880370483728917521285525655518981	-0.01320573018301978158107478346552442058013864533355190010336358275935479997352468473511080420400387082573649579852497865945421283937708609106213449208803
