s	-0.1779246313778713965225642068916022658518718681630562999566538272771905842073445616842760690917426065789287779858473349238877969589273281219134926123244818	-0.747343368836083671610521316564283661601478087101324856635635032445263536517996168699936439035122476376078405655692005080909891869570831668507885862701550
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.94203403417810273162841327391565597578610499649723554074226056698075316612191725459810426352411991975827363189385194839471295287594846829506940696987765	-2.04215419901834592252542679057928024110460426267686999211032079957252247004803107723016953089908916775533174967942873253622031309647757966987467581606304
1	0.44155647697204927781408855062525341122462854745674039275168514567773888320473223313553745132028578296386129090512169102502958390209892628236400852151542	0.36064294577088909065555185522564817774754670996175754628711866909991915928192767520582678058352288028932572381135007453887785864591148478820567207650062
2	-0.15260771582426037778460083033913365214479826927359094720745935278405632665217413963151533477063217673056583098398334781613132910798150830333948664573125	-0.06443642828946009239573248265359726344157495458789860697688896285449878610148773559497204905909677695552154387415492743965091719394627539602788683096052
3	0.05047921999297745382925207244864540767137745144412599969006410083373261121890493647433725715257289556337927238759694457541322944160687696269339961638771	0.01205058883463775880161034011032478710374129685493304615122498804573714485589069241077729030412922643048699171861552274220677532713873231153221780040363
4	-0.01451501651281811042266268345870928415701836163637268552210250500983674680905778304976573251398017715747066630563253566479282365476001708561599016462749	-0.00032274912369646151562095623248895469225609850281358931342428455628421982948706142790427037322641128241360105625066071477398297162249868030597901749848
5	0.00415257833711565644215065857894178944296024924840603845119828710582781316498450345610722286618227412839790635012235774682133603940468414838031798726279	-0.00009136925852347985015433354684196633374275524882400138245869633220653181908246504882160034662267457998930963573860352374957112692789581548375757658475
6	-0.00118222484624177428761148507372130284347268049816948199616117362864237651442579147230243754260787306201307470861794453286235893987929858142902949040031	-8.74305249760785263134855018841333045226115931299545960591668677676596968587998633244722295502496236602002760619802435000371360506404389371742645702e-6
