s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-12.0688849884148572872867338738834653747607732474366944381089893382956368551254097411694907259715809956834915828647469615225137464305177636704790779015716	-22.8696707827229659460504548433627619400539599477088671693775625250731668405349611295384235559651102568649624434676997959600547661065922154455646193885587
1	6.9950913684972628741845858090798900540615241867975778045109525675457367977075587337143331385993729599709783351971945994362594838916860188874990656241284	15.9329643186620978660727265647857648223851102438338804039917777184002727487261430437534961518962206337101425644419279247665470455650423539829920053483875
2	-3.0067066800896223900396773896097582214904393427368766081981450724446399874497183954369099960012150467431430942482042879558276969226343584164485141769405	-8.1215602149862463095082239070755894092172737258557390805205621316540576390054355185331505116158597488609939522486643382831613042713521149417947998055655
3	1.1266764582486492789082705673680867824815334315565547645108745192972931108124491787142800643563039788130308098693898101692798437303318694972532580669931	3.4994489822022871149205218960131411480078918256932274151895778085427621970640327353434882454383974885024773190308194233760603075362978289326895175666462
4	-0.361064911271866412564586659741343146994020746704763340976642199401669066450490701703605722155312931525852439287222158817078848745788233792986336838842	-1.3096500558239216684157097194553461467400016302618885128026537610232417632529110568794534004627366192279129544876223262207491947326381355236173388294787
5	0.102988417077905238783156843069141642651825414404741152599872119222577271617297347507697414152264392735659110237286210760201688112323586458171664478012	0.4402789440799406291430395372026721882264657431991504285165668900481957461838282854447192047072435706659608402281116806347063076531243619816273020827067
6	-0.0259141975387946831885675034546448920737001540070334480756390949417248795712198271492432171810510599344001148546885078493036317948422029897828902813897	-0.1355274408881211361155892538387108998299929784342239443230015894818701584360993942083666522346212630338630572771855950327854422839652867617801391763467
