s	-0.69369786698520294733144729376745706749839103429679802673287747829557457296939507087900638046643155796330276710165213971966639117458020916026806971968044395	1.62596077551055365436869105038819084279475793137129140768396612943940103167825899374292403273900490599393099427366767348550800678863248069343601529400248722
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.0058947490947211723092873686632279771327996268368859093378980208083212223535006066535721570456792796042371895245973325408926200398443856724174964606950497959	0.0018463019259851401884238696800323882384040430843029945202116223759246547212019753649119781073837073038307668565655066430040115699315965926879172554838436091
1	0.0002234501369982949258171295284154587187082133329895200965437658808238368132617733645021854910076599788215939363007333899199562412417046539599098643894539232	-0.0003873601931448581447473418769988001893893487727855449617398858258820488978709941797684855752192804642766933698388704797937607642216039284214885530689184315
2	-0.0000412253175828382547492071432155398737690234055296647969482987373096444727705920511226613401078754968863785486545178527970271996573856480139617257711631194	0.0000845529426774564291139476953333756368340835140492746955856261599434171648625319241761575429150573903568690544349236829806074369579874012253031793449187773
3	8.9264598033134292147740162981523520167707284727964844502626423255778228836948423252356768575252442659969766297151003295121000960508082607832401568787929e-6	-0.0000194282526418652574549748564895127429262105597895699321721667613552261985083386941795365606429172401767751179820949719968052580640236808277077194779654062
4	-7.026456872788760505496547902887598879995107248635110528849552925803860555991771830282484046519022206705174850406446996327743466554234867621389349726823e-7	2.7972421799385034889695820208471317130274292379511224895691553443999953577973958798554203750108712640835491693172848375954467768663268289385709174602416e-6
5	1.429244872572438962545954335574028833781226756962150967169673987998004588021229222553350622809002011797057101979131814978910343740789462361684372346549e-7	-4.298944784229972675918284770106266441787608491663396789247856111980111677462455883385130728945550878972694307251963513801233875366957996464832790132604e-7
6	5.5864467447580646389276718858824372845180712992871878375105183095888355897223998514067743290105975052334343412373657030398329786235359657843812946303e-9	4.04488407028888465807741453926289002429722670312265357086052452855073500478083622563534517599599293644455131148421790355824239128308434531447313699876e-8
