s	-0.217234709569085081378519086128043503264027967291666128970678572652103666561538835279392799001182789520276879449107566122451757498579764321238823327134212022	-0.73631255406718594177846723890402647544267146844170511976218179494556219274856369551466654002216937584464407000166258691278787442755643481380512706726082137
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	1.5414079096220372945669908171701362464924308448109600608789743439108700078745135341823117135002848574910717536284504899048330663764165754408907911505695267	-1.8123334563070420080212713263998039390585734363516934452753279438763837339198433554674568546108656647417409396528596146677632470348607709892491693676862662
1	0.1755667080899529362076897513895593380110400744823773955321723706841244722663822539354114050454066370068882045253024881317415320989037200955549629734785332	0.6360055062049847420869683319599846291452927917407632447647374612839060712534786393102091404710922378474126697469312201543219759883435619104440534788021507
2	0.0195258782618575937241632066145384145035099773570198966059374281708800255783079420944117074831077601595445217843766875231050498357537215986854566385340047	0.2226995350628202769866045874385762598854617188952135062190514575333061605943061094457282527040223926987918915481201210101439138234588847874846780831786868
3	-0.0030104727180908528414174378368387790029859056364922760538795237597096252865650788279399793619557350728325472318683792776910293410807502669487774137331325	0.0185813351234051795468575443352963063592283379382769804395089105549192674345880680163566268584253717113381907008181100667353361487889384184964447042356196
4	0.0224034566082631623120598319700921625346045275989839380466758762992919628937094517853593861198504591814254496784188886458451089986448922956743336675075131	-0.0172998646564539736366444980804831365290967564736122017987809161262729844235482580848120354805122554743422142067196459627559136380264480583411614567409895
5	0.0320473994028033491526393277860974550843782071987198268227798575293880916842987643364349687563313912877574626327497299741838030263533523461787290741961818	0.0104828902904193498298877068532661110111317307581065085310698762139980824167087661511553077387280253680750375835011177836304916251700461610528412103135336
6	0.0104771947072092639484602637125810363802995364332212974623282171613680598072460011319378187641705699807212777112662913248432617480167027819303787683448002	0.0304936798921257014743519735721634367235318372175809653192521184097667557464994837846891168378523570144304813051360127193878298689469980888464517862114855
