s	-0.48018553877026337899529046984811027504444528684354602777935350905141150661347593609324968698317890312937802618361632787304758151013365272442474040167135795	-1.18411031663162396133291981905368307723690633268444348427942770274423386799240966878604072459187949355656537662680762310658818079493495663727959320456023204
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.02777837979874372346290073863553712453211803969556199658296458730253553816765057397404456877521419720595407569134260897054962642230677265501725687778560357	0.114430730717048265219313278876467395065954373060827008346712110282379284826988588331534883030126700264346407383780725868440109362978275763417647630578432
1	-0.00031282421035240271975491349191689172025247375120040527379193154294564492076227836734030275537321663406917969744204276156542577739622732244885834681157198	-0.005542696952705601719616355067590188170999927223150775593015916396009274010819843348640052507847124775579344786211059942508981066596189619051368927428704283
2	0.00013366225328708144870374414657597289828618635658827820553041364157780541033194579613282045467248636874985722255068201504970130504821614467706852663258051	0.001213897492155464772952630777046096960299087273833115902636613635847575791184975444669801328895807448445036638858087778479203283916155390185975992794071334
3	-0.000056132219221759679350793112329766211053080815362245672970101458449671710039330725224326581083739481803242485568357155751709902845383426908435037141168239	-0.000285863936092239961397320553929155138920981645992042782839295254190523635586601717503676377226440873719117350061442514176185543490844060523963666267800378
4	9.66667851364168195178391708503659729071422722073389172819019616629666836180919942855600238627137015503223884024185251386106960023382900188604070700077e-6	0.000042926861559653026385471137661439010229811043260960949822829003450696351279415506099885501530863132738213036472423847543482393024992913834594986597612606
5	-3.941034173790528518347424440774863424807441264213106975253322020543162668215554614150972206075963851158071913493925199215596008744250553657099249435588e-6	-7.895222517569917674634587355030118069426242498208223638299175392181627638851515186390121890246926875807511197305011260771981512410259864431761837613615e-6
6	4.70798565994988864811321570523340684047220335922387649208258329795315396843698549153189123074870896022844076573140629967350683429041453121495796832441e-7	7.14889207633651652840242166568022388718360829498669762335839573098938319123774120498151247407481785440789005854737960785103652757935174419646745805564e-7
