s	-0.211645141118304905770676210622363557253413123467228460628602596565391397963038488247368811859551307874840529041329335038006120516347041404739121517612213502	0.73919843270784562821952979177067710932152000196732623048499345415299718617488697480289181417385689648717136792121113651453968626599363677285085554602409672
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	0.8597912510924082035164904944054820326145999392650743693366269826530860272363093991613828394027071730893745673696331823386560476238663906938716788994548672	2.919055631841584267778757291892594210835950219382487434635647548045288321459039398578269659371155833038806839760125461415790619928693712860778630802744738
1	0.1393502478084223833670224539932766583196319321910001149446083043843574190945237657928375623049082500339606527777801065019010007181126504802775835839490054	-0.1428059091136771130603718408326626868468868138408864965203971288280414956958220785564451771554702253647625087040556238152461300646984964139767296211384124
2	-0.0333521761057897331285685057906484567884637844559855038593861629921931845895930077718422938212053126409763904715816582849585659838312436525678459650500754	0.0301727468220106496661221023954859416440768400264734534480813013539829111469656740763849446085013243969620572505739613314328627264571916639936771090927619
3	0.0089037794551399329439640931680411206557861761626945455556234610792317131777660178828432534050875604826821407495655026215320717663082485707836005403218007	-0.0068996198202531039002721078540594205276033963381738969362697912959999342504224853034027053783059238134303981656718546816368713367249970903196300794090328
4	-0.0013793064275787373259851204069660485703501354946758676513755455277073832240231246123538452506429907269112051212851452242546895784481486372164598919674839	0.0009476616931540396669824616969895412448326368158425230087666273769353938426290999291649727640479933343676872682689987925665323526952327774050006256201598
5	0.0003261999463035634651636126961104277325805119508218015848036635452793450708443238032726446308376704365366660554020015562837344586163253073448472076545241	-0.0001633510302632009250647646909681794139424822104068920090453413352272547389620098626364831485206593612485295990855927344216205695575884895847029565481605
6	-0.0000459004260363246370365368058569837392023455095592021993673775988449792100762964559292968868066292653495305656937881623913652533275936440267638655318996	0.0000141351927668492069101217690987694940264900636835206813788131201222132725768468238159513282825667666850162798774513482306663213104231178298934131693708
