s	-0.79774760368265349017223752682684663597488547622683351004904521739301891613325057824884876222906029239401773074890387624715561713414318240274399017456730258	1.85164885509923966245105227915758127173366308149620792631489659467985835345723966394033776139347228377987279782312381996476462820956605637726252091843195842
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
0	-0.00033313363045737950800716653243102852766082192085917831298609492305744087145557520331775250017183078691093893313028112077815919451461808251502287211558108296	0.0014211607736050455800810483385626182880662266893048611847026077671212222749865419563254129492334363674701533084637855351050075855000010548273225701245756438
1	-0.00007568796674220860211133424163477841813111545366530947369013002344214951275811136819162790122837419940681596551656284366160565901297362681065772286640012985	-0.0001032735329333013386632415908291014414054647890545372743956586988431129314293125508712969540496965510490364795747190172451868041994810343995235125667082623
2	0.00001862638430984333807314037156461798734580749333843430180161222771855115155758389130178573608541127614728037271404201794755247915111462438175547622495782181	0.0000197896553503927988495672229111778263569006676993604589288562476203356840978922349830533291188182183620195562798040565663081754758409758679236052899614956
3	-4.56141180759888642208371559115806967081619150610273577749929450155581480621229902237422978044077941507501442875141207067842275056584166011780675260439641e-6	-4.2242820904514270894270898175408801722621355501643792850458524301601199889761450058765163823234794440492981223276928782575701317167899185944332557542286e-6
4	7.888738517911378301308671126914531391169705026540253969088614603289242749458974687423612691159173544442825112510886550831413775775137508587834600376095e-7	3.81295751593447621999093204622997689769549523509467063317327377299543141414137570633435159014943012792505096783565209375821206656168363931701570839597e-7
5	-1.2739780291363775613448814782613358624188398741600210074804690340831163732611656750233287718392128279647446781174678616557029680922908499583434409671423e-7	-5.1166453650799402116326693645045125539832535099891609700320609468436133682724034911852500144914681104203899278943117465543070788091993786035040031718e-8
6	1.639329215774256364309087975916185185398066569074558309307237454196581688930380186100264026944111937180652140335297509582720309579574121024681983969682e-8	-2.5968261779772161952530857394904926267639890765692273898225602395500813675250542260047112007524072198436115255108569940781391865536744273370414881067e-9
